26	150	13303	11278
10	150	14492	13930
26	250	12892	13930
21	150	12451	11298
6	250	12266	13930
22	300	15016	11278
24	150	11298	12953
10	300	15016	14730
10	300	12264	13232
17	300	13232	11618
13	100	10397	14908
18	300	11259	14683
15	300	11292	12339
10	300	13495	10821
17	300	11292	14869
17	250	12478	12892
13	100	11278	10397
12	250	10721	11618
24	150	12889	11298
10	300	10821	14307
8	200	11292	11697
10	150	14683	11298
23	150	12478	14679
21	200	11292	14107
18	100	13487	12953
19	100	10397	12953
20	150	11298	15016
23	150	13930	12892
10	100	11433	10397
28	250	11618	10721
27	150	11618	12892
14	250	12264	10721
8	100	10397	11278
30	250	12892	12264
14	300	12191	12892
2	300	13198	12889
25	250	11618	13930
9	300	12191	14683
18	150	13930	13204
5	150	11298	13204
14	100	10397	12953
9	250	12173	14771
26	250	11697	11618
27	150	10721	13303
17	300	13232	13871
12	200	14057	11292
9	200	11292	14107
24	250	12266	14107
25	300	12953	15016
1	300	10821	15304
8	100	13930	11433
14	150	13930	12953
21	250	12266	11697
17	300	11259	10140
21	300	14107	11697
7	100	13244	15304
6	250	11618	14683
18	100	14057	13487
7	250	12478	12892
21	300	15304	14100
6	300	10140	12889
18	250	14747	13930
18	200	14771	11292
17	250	12478	14771
28	200	11292	11193
18	100	11433	11292
2	100	10397	11697
14	300	12892	14771
9	150	12892	10721
4	100	11433	11298
21	300	13796	13891
17	250	14771	11292
12	150	13851	11298
14	100	12478	14869
23	300	15016	11278
11	250	13930	14747
4	100	13851	10397
19	100	10397	14027
31	300	12892	11292
9	150	13930	10423
29	300	14570	13796
9	300	11057	10821
18	300	14100	13232
10	300	10693	10821
25	150	15016	13930
15	200	11292	13204
23	150	12173	13930
9	200	11292	12339
19	100	10397	13244
5	100	11298	10397
9	200	13487	11292
25	150	12953	13930
24	300	13891	12889
10	300	13342	11292
28	250	12892	14771
6	150	11298	13204
15	150	12478	14771
17	150	12451	11298
24	300	14679	14107
14	150	11298	11618
6	300	13495	15304
11	100	10397	11057
18	300	10821	11292
19	300	15016	13204
23	150	13303	11278
18	300	13198	12339
8	300	11292	12451
22	300	14679	11292
15	300	13232	13931
25	300	11259	10423
21	300	15304	14492
18	300	14679	14893
1	200	12889	11292
11	150	11298	14869
1	150	13871	11298
27	150	13303	11278
17	150	15304	11298
31	150	12889	13303
13	100	10397	14771
24	300	12892	14107
26	150	11298	15016
16	300	12889	14869
26	300	13198	10821
17	150	14908	11298
31	100	12892	14869
18	300	13495	12191
21	150	11298	14683
27	300	12892	13232
12	250	11618	13204
9	100	11292	10397
1	300	11259	10140
11	300	13232	14100
22	250	12266	12953
11	150	11298	14100
10	100	13487	12953
28	150	12892	14771
16	150	13930	12889
30	150	13303	15304
6	300	13495	13204
17	300	11292	12889
16	150	11298	15304
30	250	12953	13930
2	300	13198	15304
30	150	13930	13303
11	150	11298	11292
14	300	10821	11292
3	100	11433	14100
12	300	14908	11292
12	300	10140	12892
1	250	13930	11278
14	300	12191	13204
4	100	14771	10397
23	300	10693	14492
3	100	10397	11066
30	250	12173	12892
9	300	14730	10397
11	300	15016	11066
17	300	15016	12191
11	150	10721	12478
2	250	11278	13930
10	300	13851	12191
10	300	12889	13232
26	250	11618	14683
6	300	14307	13204
19	150	13930	12892
18	100	10397	11298
18	150	14683	11298
22	150	11298	13198
14	200	14635	11292
23	300	11292	14869
18	250	12478	14771
10	100	13487	13930
2	150	11298	13851
6	300	12892	10423
28	150	13204	13303
19	100	13495	10397
3	300	14492	12191
27	250	14908	14771
19	100	10397	15304
3	300	12191	12892
8	300	14107	13796
9	100	10397	10693
19	100	15304	10397
3	100	12953	11433
17	300	14107	11618
9	100	11433	11298
25	150	15016	13930
30	300	10821	14492
